planet_name,host_name,discovery_method,orbit_semi_major_axis,planet_radius,planet_mass,eccentricity,stellar_mass,distance,v_magnitude
BD-14 3065 b,BD-14 3065 A,Transit,0.0656,21.59,3932.0,0.066,1.41,589.423,11.1
GJ 143 b,GJ 143,Transit,0.1915,2.61,22.7,0.188,0.73,16.32,8.08
GJ 3090 b,GJ 3090,Transit,0.03165,2.13,3.34,0.32,0.519,22.4751,11.403
GJ 3473 b,GJ 3473,Transit,0.01589,1.264,1.86,0.0,0.36,27.3644,13.74
GJ 367 b,GJ 367,Transit,0.00709,0.699,0.633,0.06,0.455,9.41263,10.153
GJ 3929 b,GJ 3929,Transit,0.0252,1.09,1.75,0.0,0.313,15.8095,12.675
Gliese 12 b,Gliese 12,Transit,0.0668,0.958,3.87,0.5,0.2414,12.21,12.6
HD 110113 b,HD 110113,Transit,0.035,2.05,4.55,0.093,0.997,106.307,10.09
HD 1397 b,HD 1397,Transit,0.1097,11.500434,131.89945,0.251,1.324,79.5702,7.79
HD 152843 b,HD 152843,Transit,0.1053,3.41,11.56,0.14,1.15,107.898,8.855
HD 183579 b,HD 183579,Transit,0.1322,3.49,20.4,0.061,0.996,57.2651,8.67
HD 18599 b,HD 18599,Transit,0.048,2.6,24.1,0.34,0.863,38.5653,8.99
HD 191939 b,HD 191939,Transit,0.0804,3.41,10.0,0.031,0.81,53.6089,8.97
HD 191939 c,HD 191939,Transit,0.1752,3.195,8.0,0.034,0.81,53.6089,8.97
HD 191939 d,HD 191939,Transit,0.2132,2.995,2.8,0.031,0.81,53.6089,8.97
HD 202772 A b,HD 202772 A,Transit,0.05208,17.317905,323.23311,0.038,1.72,161.498,8.324
HD 20329 b,HD 20329,Transit,0.018,1.72,7.42,0.0,0.9,63.6796,8.76
HD 207496 b,HD 207496,Transit,0.0629,2.25,6.1,0.231,0.8,23.606,8.23
HD 207897 b,HD 207897,Transit,0.117,2.34302132,14.8,0.0,0.8208,28.2938,8.37
HD 213885 b,HD 213885,Transit,0.02012,1.745,8.83,0.0,1.068,48.0883,7.95
HD 21520 b,HD 21520,Transit,0.1726,2.697,17.7,0.0,1.09,79.208,9.17
HD 221416 b,HD 221416,Transit,0.1228,9.17,60.5,0.115,1.212,95.5483,8.15
HD 23472 b,HD 23472,Transit,0.1162,2.0,8.32,0.072,0.67,39.0341,9.73
HD 23472 c,HD 23472,Transit,0.1646,1.87,3.41,0.063,0.67,39.0341,9.73
HD 23472 d,HD 23472,Transit,0.04298,0.75,0.55,0.07,0.67,39.0341,9.73
HD 23472 e,HD 23472,Transit,0.068,0.818,0.72,0.07,0.67,39.0341,9.73
HD 23472 f,HD 23472,Transit,0.0906,1.137,0.77,0.07,0.67,39.0341,9.73
HD 235088 b,HD 235088,Transit,0.071,2.07506422,4.2,0.0,0.8531,41.1706,9.19
HD 25463 b,HD 25463,Transit,0.076,2.54535814,8.7,0.0,1.251,45.6181,6.91134
HD 25463 c,HD 25463,Transit,0.0443,1.36354953,4.3,0.0,1.251,45.6181,6.91134
HD 260655 b,HD 260655,Transit,0.02933,1.24,2.14,0.039,0.439,10.0055,9.63
HD 260655 c,HD 260655,Transit,0.04749,1.533,3.09,0.038,0.439,10.0055,9.63
HD 2685 b,HD 2685,Transit,0.0568,16.14096,371.8611,0.091,1.43,196.852,9.595
HD 28109 b,HD 28109,Transit,0.1357,2.199,18.496,0.3307,1.26,139.611,9.42
HD 28109 c,HD 28109,Transit,0.308,4.23,7.943,0.1203,1.26,139.611,9.42
HD 28109 d,HD 28109,Transit,0.411,3.25,5.681,0.0864,1.26,139.611,9.42
HD 332231 b,HD 332231,Transit,0.145,9.07303305,74.1,0.0,1.1642,80.6665,8.558
HD 5278 b,HD 5278,Transit,0.1202,2.45,7.8,0.08,1.126,57.5846,7.94
HD 6061 b,HD 6061,Transit,0.06,2.42763557,10.0,0.0,1.0269,67.6203,8.844
HD 63433 b,HD 63433,Transit,0.072,2.16351593,37.3,0.0,0.9883,22.4035,6.92035
HD 63433 c,HD 63433,Transit,0.146,2.58229101,17.2,0.0,0.9883,22.4035,6.92035
HD 63935 b,HD 63935,Transit,0.083,2.91575244,10.5,0.0,0.9406,48.9739,8.58
HD 73583 b,HD 73583,Transit,0.0604,2.79,10.2,0.09,0.73,31.5666,9.67
HD 73583 c,HD 73583,Transit,0.1242,2.39,9.7,0.08,0.73,31.5666,9.67
HD 77946 b,HD 77946,Transit,0.073,2.89646124,10.9,0.211,1.1973,99.451,8.99
HD 86226 c,HD 86226,Transit,0.049,2.16,7.25,0.075,1.019,45.683,7.93
HD 93963 A b,HD 93963 A,Transit,0.02061,1.46954368,2.8,0.0,1.0844,82.3432,9.182
HD 93963 A c,HD 93963 A,Transit,0.04726,3.11976057,18.4,0.0,1.0844,82.3432,9.182
HIP 65 A b,HIP 65 A,Transit,0.01782,22.75427,1021.18779,0.0,0.781,61.7856,11.0
HIP 8152 b,HIP 8152,Transit,0.093,2.53625843,8.9,0.0,0.9373,101.694,10.07
HIP 8152 c,HIP 8152,Transit,0.139,2.52442508,10.7,0.2,0.9373,101.694,10.07
HIP 94235 b,HIP 94235,Transit,0.0787,3.0,379.0,0.32,1.094,58.5146,8.31
HIP 9618 b,HIP 9618,Transit,0.145,3.82838127,8.3,0.0,0.942,67.5478,9.2
HIP 9618 c,HIP 9618,Transit,0.269,3.42855926,7.0,0.0,0.942,67.5478,9.2
HIP 97166 b,HIP 97166,Transit,0.091,2.4801338,19.1,0.29,0.9342,65.9501,9.92
HR 858 b,HR 858,Transit,0.04888,2.004,3.55,0.0,1.204,31.964,6.38
HR 858 c,HR 858,Transit,0.0687,1.979,3.8,0.0,1.204,31.964,6.38
HR 858 d,HR 858,Transit,0.1046,2.001,7.1,0.0,1.204,31.964,6.38
L 168-9 b,L 168-9,Transit,0.0208,1.63,4.07,0.0,0.614,25.1496,11.005
L 98-59 b,L 98-59,Transit,0.02191,0.85,0.4,0.103,0.273,10.6194,11.685
L 98-59 c,L 98-59,Transit,0.0304,1.385,2.22,0.103,0.273,10.6194,11.685
L 98-59 d,L 98-59,Transit,0.0486,1.521,1.94,0.074,0.273,10.6194,11.685
LP 714-47 b,LP 714-47,Transit,0.0417,4.7,30.8,0.04,0.59,52.616,12.492
LP 791-18 c,LP 791-18,Transit,0.02961,2.438,7.1,8e-05,0.139,26.4927,16.91
LTT 1445 A c,LTT 1445 A,Transit,0.02661,1.147,1.54,0.223,0.257,6.86929,10.59
LTT 3780 b,LTT 3780,Transit,0.01195,1.325,2.46,0.0,0.381,21.9814,13.14
LTT 3780 c,LTT 3780,Transit,0.0757,2.39,8.04,0.024,0.381,21.9814,13.14
LTT 9779 b,LTT 9779,Transit,0.01679,4.72,29.32,0.0,0.77,80.4373,9.79
NGTS-11 b,NGTS-11,Transit,0.201,9.157753,109.33352,0.13,0.862,190.422,12.456
NGTS-20 b,NGTS-20,Transit,0.313,11.99360935,947.12865286,0.432,1.47,382.898,11.233
NGTS-27 b,NGTS-27,Transit,0.0446,15.64773706,188.47224535,0.0,1.07,942.122,13.523
NGTS-30 b,NGTS-30,Transit,0.408,10.40193409,305.11527072,0.294,0.94,238.377,12.537
NGTS-33 b,NGTS-33,Transit,0.048,18.38272835,1153.71711741,0.0,1.6,437.855,11.604
TIC 139270665 b,TIC 139270665,Transit,0.163,7.22979255,147.15455244,0.105,1.035,189.875,10.385
TIC 172900988 b,TIC 172900988 Aa,Transit,0.90281,11.25,942.0,0.0271,1.2384,250.956,10.141
TIC 237913194 b,TIC 237913194,Transit,0.1207,12.520453,617.22586,0.575,1.026,306.063,12.144
TIC 241249530 b,TIC 241249530,Transit,0.641,13.29385111,1582.78546686,0.9412,1.271,324.448,11.908
TIC 257060897 b,TIC 257060897,Transit,0.051,16.70138124,212.94503269,0.03,1.32,505.703,11.814
TIC 279401253 b,TIC 279401253,Transit,0.369,11.2089807,1951.46641898,0.448,1.13,285.584,11.938
TIC 365102760 b,TIC 365102760,Transit,0.0622,6.21,19.2,0.406,1.17,555.546,12.154
TIC 393818343 b,TIC 393818343,Transit,0.1291,12.18416202,1379.37528638,0.6058,1.082,93.7345,9.48
